ICA_d25_ID,VIS,MOT,DAN,VAN,LIM,FPN,DMN,Yeo7N,Color,yeo7n_short
1,0.01,0.04,0.08,0.02,0.05,0.03,0.78,1.DMN,[1 0 0],DMN
2,0.58,0.04,0.31,0.02,0.00,0.04,0.01,2.VIS,[0.5 0 0.5],VIS
3,0.03,0.11,0.39,0.26,0.01,0.15,0.05,3.DA/VA,[0 1 0],DA/VA
4,0.76,0.08,0.03,0.07,0.00,0.02,0.04,4.VIS,[0.5 0 0.5],VIS
5,0.01,0.07,0.23,0.03,0.01,0.42,0.22,5.FPN,[1 0.5 0],FPN
6,0.01,0.01,0.15,0.05,0.04,0.41,0.32,6.FPN,[1 0.5 0],FPN
7,0.16,0.01,0.24,0.06,0.02,0.14,0.37,7.DMN,[1 0 0],DMN
8,0.84,0.01,0.02,0.03,0.00,0.08,0.02,8.VIS,[0.5 0 0.5],VIS
9,0.01,0.11,0.01,0.11,0.01,0.22,0.53,9.DMN,[1 0 0],DMN
10,0.04,0.53,0.27,0.08,0.00,0.02,0.06,10.MOT,[0 0 1],MOT
11,0.02,0.67,0.04,0.25,0.01,0.00,0.02,11.MOT,[0 0 1],MOT
12,0.02,0.65,0.11,0.19,0.00,0.00,0.04,12.MOT,[0 0 1],MOT
13,0.00,0.08,0.16,0.11,0.05,0.14,0.46,13.DMN,[1 0 0],DMN
14,0.05,0.13,0.01,0.15,0.04,0.14,0.48,14.DMN,[1 0 0],DMN
15,0.71,0.03,0.03,0.18,0.02,0.00,0.03,15.CRB,[0 0 0],CRB
16,0.00,0.01,0.09,0.20,0.01,0.40,0.29,16.FPN,[1 0.5 0],FPN
17,0.09,0.38,0.06,0.19,0.03,0.02,0.22,17.MOT,[0 0 1],MOT
18,0.02,0.36,0.14,0.39,0.00,0.07,0.02,18.STR,[1 0.7 0.8],STR
19,0.85,0.02,0.05,0.04,0.00,0.03,0.01,19.VIS,[0.5 0 0.5],VIS
20,0.06,0.05,0.12,0.15,0.01,0.22,0.39,20.DMN,[1 0 0],DMN
21,0.01,0.02,0.06,0.17,0.06,0.28,0.41,21.FP/DM,[1 0 0],FP/DMN
